title,author,avg_rating,ratings,score,votes
"The Dalai Lama's Cat and the Power of Meow (The Dalai Lama's Cat, #3)",David Michie,4.49,"2,297",95,1
Wittgenstein's Nephew,Thomas Bernhard,4.03,"5,499",95,1
In The Court of the One-Eyed King,Buck Starmer,4.5,2,95,1
The Chrysalids,John Wyndham,3.93,"53,473",95,1
Grendel,John Gardner,3.69,"37,472",94,1
She Came to Stay,Simone de Beauvoir,3.9,"4,565",93,1
The Complete Stories,Franz Kafka,4.34,"26,021",93,1
Quincas Borba,Machado de Assis,3.96,"6,168",92,1
Knulp,Hermann Hesse,3.88,"6,486",91,1
Cat's Eye,Margaret Atwood,3.94,"66,580",91,1
Five Women,Robert Musil,3.84,353,90,1
The Tao of Pooh,Benjamin Hoff,4,"116,681",89,1
The Discovery of Heaven,Harry Mulisch,4.17,"15,137",88,1
Mortal Engines,Stanisław Lem,3.72,"3,919",88,1
Tempus Unbound,Janet E. Morris,4.14,112,84,1
"Wind from the Abyss (Silistra, #3)",Janet E. Morris,3.97,115,83,1
Cosmos,Witold Gombrowicz,4.02,"3,851",83,1
A Man and His God,Janet E. Morris,4.43,94,81,1
The Tempest,William Shakespeare,3.79,"202,619",68,1
Persian Letters,Montesquieu,3.65,"7,065",59,1
The Temple of the Golden Pavilion,Yukio Mishima,3.98,"18,232",53,1
The Robbers,Friedrich Schiller,3.46,"10,199",51,1
On the Overgrown Path,David Herter,3.92,26,50,1
Waiting for the Barbarians,J.M. Coetzee,3.93,"30,706",49,1
Memoirs Found in a Bathtub,Stanisław Lem,3.77,"3,601",47,1
Ubu Roi,Alfred Jarry,3.58,"6,343",46,1
Return From the Stars,Stanisław Lem,3.95,"5,484",45,1
The Lost Honor of Katharina Blum,Heinrich Böll,3.69,"14,898",44,1
